Host : clust2
Date : Fri Apr 18 03:42:22 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 73: Espilon = 4520.6652, ESS = 856 Acc. rate = 15.77% Uniqueness rate particules = 83.9% Uniqueness rate components = 83.9% Global parameters uniqueness rate = 83.9%

Iteration 74: Espilon = 4475.2086, ESS = 814 Acc. rate = 14.86% Uniqueness rate particules = 86.5% Uniqueness rate components = 86.5% Global parameters uniqueness rate = 86.5%

Iteration 75: Espilon = 4436.5977, ESS = 773 Acc. rate = 15.27% Uniqueness rate particules = 88.5% Uniqueness rate components = 88.5% Global parameters uniqueness rate = 88.5%

Iteration 76: Espilon = 4386.2059, ESS = 734 Acc. rate = 11.72% Uniqueness rate particules = 89.0% Uniqueness rate components = 89.0% Global parameters uniqueness rate = 89.0%

Iteration 77: Espilon = 4345.6930, ESS = 697 Acc. rate = 12.63% Uniqueness rate particules = 89.9% Uniqueness rate components = 89.9% Global parameters uniqueness rate = 89.9%

Iteration 78: Espilon = 4293.4032, ESS = 662 Acc. rate = 13.14% Uniqueness rate particules = 90.2% Uniqueness rate components = 90.2% Global parameters uniqueness rate = 90.2%

Iteration 79: Espilon = 4245.7240, ESS = 628 Acc. rate = 12.74% Uniqueness rate particules = 90.6% Uniqueness rate components = 90.6% Global parameters uniqueness rate = 90.6%

Iteration 80: Espilon = 4187.4954, ESS = 596 Acc. rate = 12.08% Uniqueness rate particules = 90.8% Uniqueness rate components = 90.8% Global parameters uniqueness rate = 90.8%

Iteration 81: Espilon = 4138.5937, ESS = 566 Acc. rate = 12.01% Uniqueness rate particules = 91.1% Uniqueness rate components = 91.1% Global parameters uniqueness rate = 91.1%

Iteration 82: Espilon = 4091.8927, ESS = 537 Acc. rate = 11.92% Uniqueness rate particules = 91.2% Uniqueness rate components = 91.2% Global parameters uniqueness rate = 91.2%

Iteration 83: Espilon = 4055.0525, ESS = 510 Acc. rate = 11.96% Uniqueness rate particules = 91.4% Uniqueness rate components = 91.4% Global parameters uniqueness rate = 91.4%

Resampling... 477 unique particles left
Iteration 84: Espilon = 3993.6658, ESS = 1000 Acc. rate = 8.90% Uniqueness rate particules = 56.3% Uniqueness rate components = 56.3% Global parameters uniqueness rate = 56.3%

Iteration 85: Espilon = 3948.5740, ESS = 950 Acc. rate = 10.63% Uniqueness rate particules = 64.4% Uniqueness rate components = 64.4% Global parameters uniqueness rate = 64.4%

Iteration 86: Espilon = 3905.3480, ESS = 902 Acc. rate = 7.21% Uniqueness rate particules = 68.4% Uniqueness rate components = 68.4% Global parameters uniqueness rate = 68.4%

Iteration 87: Espilon = 3857.6769, ESS = 856 Acc. rate = 8.18% Uniqueness rate particules = 71.8% Uniqueness rate components = 71.8% Global parameters uniqueness rate = 71.8%

Iteration 88: Espilon = 3795.1107, ESS = 813 Acc. rate = 8.86% Uniqueness rate particules = 75.1% Uniqueness rate components = 75.1% Global parameters uniqueness rate = 75.1%

Iteration 89: Espilon = 3756.9298, ESS = 773 Acc. rate = 9.31% Uniqueness rate particules = 77.5% Uniqueness rate components = 77.5% Global parameters uniqueness rate = 77.5%

